impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-180941,A732144,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A732144,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Naos,Cat,8 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,"Jul 16, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732144,Image Copyright HLP Inc. 2025,"Received on: 2025-07-16<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Naos and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on July 16, 2025.<p/><p/>I am a sweet cat who will need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I will be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K25-181437,A732996,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732996,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Andromeda,Cat,NO AGE,Female,Domestic Shorthair,Gray,"Jul 30, 2025",Received on,12000 block of  71ST AVE S,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732996,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 12000 block of  71ST AVE S<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180394,A731303,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960008,LOST,Ayla,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jun 26, 2025",Date Lost,CENTRAL  PL S,266TH ST E VALLE,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960008,Image Copyright HLP Inc. 2025,"Description: Grey, green eyes big, medium large <p/>Age: Over 1 year<p/>Location Lost: Central Pl S, 266th st, E valley hwy, Kent WA  98030<p/>Lost Date: 2025-06-26<p/>",
K25-181502,A733120,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733120,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Amalie,Cat,2 YEARS,Female,Domestic Shorthair,Brn Tabby,"Aug 01, 2025",Received on,22500 block of  285TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733120,Image Copyright HLP Inc. 2025,"Received on: 2025-08-01<p/> Found Near: 22500 block of  285TH AVE SE<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181490,A733086,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733086,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Corey,Cat,5 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,"Jul 31, 2025",Received on,1000 block of  1ST AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733086,Image Copyright HLP Inc. 2025,"Received on: 2025-07-31<p/> Found Near: 1000 block of  1ST AVE N<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181599,A733250,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733250,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Male,Domestic Shorthair,Black / White,"Aug 03, 2025",Received on,26300 block of  201ST PL SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733250,Image Copyright HLP Inc. 2025,"Received on: 2025-08-03<p/> Found Near: 26300 block of  201ST PL SE<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181620,A733328,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,13 WEEKS,Female,Domestic Mediumhair,White / Black,"Aug 04, 2025",Received on,17200 block of  140TH AVE SE,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733328,Image Copyright HLP Inc. 2025,Received on: 2025-08-04<p/> Found Near: 17200 block of  140TH AVE SE<p/> Description: White / Black Female Domestic Mediumhair Cat<p/> Age: 13 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-181279,A732641,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2970514,LOST,Money Penny,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"Jul 25, 2025",Date Lost,20000 block of  1ST PL S,Des Moines,,98198,DES MOINES,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2970514,Image Copyright HLP Inc. 2025,"Description: No collar, microchipped. Lost midway during cat sitting. She is 14 yo and needs a kidney pill, antibiotics, appetite stimulant, and fluid therapy. <p/>Age: Over 1 year<p/>Location Lost: 20012 1st Place South, Seattle WA  98198<p/>Lost Date: 2025-07-25<p/>",
K25-181591,A733235,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733235,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Buddy,Dog,11 YEARS,Male,Terrier / Mix,Black / White,"Aug 03, 2025",Received on,24400 block of  RUSSELL RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733235,Image Copyright HLP Inc. 2025,"Received on: 2025-08-03<p/> Found Near: 24400 block of  RUSSELL RD S<p/> Description: Black / White Male Terrier / Mix Dog<p/> Age: 11 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181618,A733325,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733325,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Male,Rottweiler,Black / Tan,"Aug 04, 2025",Received on,2400 block of  SW 106TH ST,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733325,Image Copyright HLP Inc. 2025,"Received on: 2025-08-04<p/> Found Near: 2400 block of  SW 106TH ST<p/> Description: Black / Tan Male Rottweiler Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180487,A731446,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2961051,LOST,Cinder,Dog,Over 1 year<p/>,Female,Shih Tzu,Black,"Jul 03, 2025",Date Lost,27600 block of  123RD AVE SE,Kent,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2961051,Image Copyright HLP Inc. 2025,"Description: She is a small black Shih Tzu with short clipped body and long topknot and tail. She has an underbite. May be wearing hair in a red bow. She wasn't wearing a collar.<p/>Age: Over 1 year<p/>Location Lost: 27622 123rd Ave SE, Kent WA  98030<p/>Lost Date: Jul  3 202<p/>",
K25-180312,A731136,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958831,LOST,Luna,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Jun 28, 2025",Date Lost,WA  98106 21 AVE SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958831,Image Copyright HLP Inc. 2025,"Description: Her name is Luna she most likely will come if you call her name,she has yellow eyes with a orange spot on the bottom,she bigger in her stomach,she’s a tabby cat ,she’s only 3 - 4 years old <p/>Age: Over 1 year<p/>Location Lost: WA 98106 21 ave sw, Seattle WA  98106<p/>Lost Date: 2025-06-28<p/>",
K25-180416,A731335,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960220,LOST,Mama,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Jun 27, 2025",Date Lost,S  146th St & 48th Pl S,Tukwila,,98168,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960220,Image Copyright HLP Inc. 2025,"Description: Mama is a black and white tuxedo cat, approximately eight years old. She has been spayed and has a tipped ear, as part of the trap and release program. <p/>Age: Over 1 year<p/>Location Lost: S 146th St and 48th Pl S, Tukwila, Seattle WA  98168<p/>Lost Date: 2025-06-27<p/>",
K25-180311,A731135,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958830,LOST,Luna,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Jun 28, 2025",Date Lost,WA  98106 21 AVE SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958830,Image Copyright HLP Inc. 2025,"Description: Her name is Luna she most likely will come if you call her name,she has yellow eyes with a orange spot on the bottom,she bigger in her stomach,she’s a tabby cat ,she’s only 3 - 4 years old <p/>Age: Over 1 year<p/>Location Lost: WA 98106 21 ave sw, Seattle WA  98106<p/>Lost Date: 2025-06-28<p/>",
K25-180452,A731380,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960537,In Public Home,Jean-Ralphio,Cat,Under 1 year<p/>,Unknown,Domestic Shorthair,Unknown,"Jul 02, 2025",Date Found,143rd  Ave SE & SE 12th St,Bellevue,,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960537,Image Copyright HLP Inc. 2025,"Description: One Male one Female. Male is Domestic Medium hair, Female is Domestic short hair. Estimated about 5.5 weeks old<p/>Age: Under 1 year<p/>Found Near: 143rd Ave SE and SE 12th St, Bellevue WA  98007<p/>Found Date: 2025-07-02<p/>",
K25-181623,A733334,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733334,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Female,Domestic Shorthair,Black,"Aug 04, 2025",Received on,3400 block of  S 152ND ST,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733334,Image Copyright HLP Inc. 2025,"Received on: 2025-08-04<p/> Found Near: 3400 block of  S 152ND ST<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181533,A733157,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Shorthair,Org Tabby,"Aug 01, 2025",Received on,700 block of  5TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733157,Image Copyright HLP Inc. 2025,Received on: 2025-08-01<p/> Found Near: 700 block of  5TH AVE S<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180310,A731134,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958822,LOST,Carl,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Brown,"Jun 26, 2025",Date Lost,25300 block of  135th Ave SE,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958822,Image Copyright HLP Inc. 2025,"Description: Tan in color has black spot on his rear leg (can’t remember which right now) walks bow legged from an accident.  <p/>Age: Over 1 year<p/>Location Lost: 25339 135th ave se unit 47, Kent WA  98042<p/>Lost Date: 2025-06-26<p/>",
K25-181426,A732981,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732981,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 WEEK,Female,Domestic Shorthair,Black,"Jul 30, 2025",Received on,800 block of  WEST VALLEY HWY S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732981,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 800 block of  WEST VALLEY HWY S<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180739,A731809,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731809,Paws,,Cat,1 YEAR,Female,Domestic Shorthair,Tortie,"Jul 10, 2025",Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731809,Image Copyright HLP Inc. 2025,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: Paws<p/>,
K25-180834,A731921,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965612,LOST,Aela,Dog,Under 1 year<p/>,Female,Belgian Malinois,Black,"Jul 12, 2025",Date Lost,300 block of  S St SE,Auburn,,98002,OTHER,47.30568,-122.206719,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965612,Image Copyright HLP Inc. 2025,"Description: Small mostly black dog with white chest. She’s a mal mix who’s around 19” at the withers and 27 pounds<p/>Age: Under 1 year<p/>Location Lost: 204th Ave SE & SE 259th St, Kent WA  98042<p/>Lost Date: 2025-07-12<p/>",
K25-180451,A731379,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960528,LOST,Lunah,Cat,Over 1 year<p/>,Male,Maine Coon,Brown,"Jun 30, 2025",Date Lost,100 block of  TH AVE S. AND SPUTH ATLANTOC,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960528,Image Copyright HLP Inc. 2025,"Description: Posting again Missing cat may have been seen Mt Baker /Leschi area near 30th ave s. And irving. If you are able to contain him i can get him. He is chipped. 15 lbs. green eyes black foot pads Please contact me asap so i can find him. #missingcat #Lostcat #mtbaker #leschi @<p/>Age: Over 1 year<p/>Location Lost: 30 th ave s. And Sputh Atlantoc, Seattle WA  98118<p/>Lost Date: 2025-06-30<p/>",
K25-180239,A731015,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957996,LOST,Carlos,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Brown,"Jun 24, 2025",Date Lost,269TH  ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957996,Image Copyright HLP Inc. 2025,"Description: Tabby cat with distinct black birth mark on the nose will answer to Carlitos or normal cat calls<p/>Age: Over 1 year<p/>Location Lost: 269th st se , Kent WA  98042<p/>Lost Date: 2025-06-24<p/>",
K25-178736,A728639,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A728639,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Onyx,Dog,8 MONTHS,Male,German Shepherd / Siberian Husky,Black / Brown,"May 17, 2025",Received on,38400 block of  172ND AVE SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A728639,Image Copyright HLP Inc. 2025,"Received on: 2025-05-17<p/> Found Near: 38400 block of  172ND AVE SE<p/> Description: Black / Brown Male German Shepherd / Siberian Husky Dog<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181549,A732987,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732987,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Layne,Cat,NO AGE,Male,Domestic Shorthair,Gray Tabby,"Aug 02, 2025",Received on,23900 block of  43RD AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732987,Image Copyright HLP Inc. 2025,"Received on: 2025-08-02<p/> Found Near: 23900 block of  43RD AVE S<p/> Description: Gray Tabby Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181425,A732980,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A732980,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Daron,Cat,12 WEEKS,Neutered Male,Domestic Shorthair,Org Tabby,"Jul 30, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732980,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Description: Org Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Daron and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on July 30, 2025.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home once I get to know you!<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K25-180824,A731909,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965481,LOST,Nika,Cat,Over 1 year<p/>,Female,Tonkinese,Unknown,"Jul 12, 2025",Date Lost,16400 block of  NE 12TH ST,Bellevue,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965481,Image Copyright HLP Inc. 2025,"Description: Big girl, grey, with blue eyes. She has a crooked tail and is very shy. I'm not so sure of what breed, maybe a mix between Russian Blue and Tonkinese. <p/>Age: Over 1 year<p/>Location Lost: 16404 NE 12TH ST, Bellevue WA  98008<p/>Lost Date: 2025-07-12<p/>",
K25-181411,A732965,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732965,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chester,Cat,6 WEEKS,Male,Domestic Shorthair,Gray,"Jul 30, 2025",Received on,28400 block of  46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732965,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 28400 block of  46TH AVE S<p/> Description: Gray Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180470,A726231,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A726231,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Tod,Rabbit Sh,4 MONTHS,Neutered Male,Rabbit Sh,Br Brindle,"Jul 03, 2025",Received on,28606 132ND AVE SE,KENT,WA,98042,KENT,47.344857,-122.164359,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A726231,Image Copyright HLP Inc. 2025,"Received on: 2025-07-03<p/> Description: Br Brindle<p/>  Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 4 MONTHS<p/> Adoption Fee: $15<p/> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p/>Hi there! My name is Tod and I'm a rabbit who is looking for a forever home. <p/><p/>I came in with Hopper, we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow. <p/><p/>I am currently at an offsite location looking for my forever family! <p/><p/>Adoptions at partner stores are coordinated on a ""first-come, first-served"" basis. It is recommended that you call the offsite location before going to the store in case the animal is in the process of being adopted or already adopted. Delays on the profile being removed from the website after adoption is to be expected. <p/><p/>",
K25-181405,A729211,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Aeropostale,Rabbit Sh,NO AGE,Spayed Female,Rabbit Sh,Brown,"May 27, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A729211,Image Copyright HLP Inc. 2025,"Received on: 2025-05-27<p/> Description: Brown Spayed Female Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Aeropostale and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by a good samaritan on May 27, 2025.<p/><p/>I came in with Holister (A729210) we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K25-181390,A732925,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2972024,LOST,Mochi,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 27, 2025",Date Lost,SE  237th Pl & 128th Ave SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2972024,Image Copyright HLP Inc. 2025,"Description: she has a distinctive light brown patch on the left of her nose.<p/>Age: Over 1 year<p/>Location Lost: SE 237th Pl and 128th Ave SE, Kent WA  98031<p/>Lost Date: 2025-07-27<p/>",
K25-181383,A732916,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,2 WEEKS,Male,Domestic Shorthair,Black,"Jul 29, 2025",Received on,23800 block of  111TH PL SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732916,Image Copyright HLP Inc. 2025,Received on: 2025-07-29<p/> Found Near: 23800 block of  111TH PL SE<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180796,A731874,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965176,LOST,Byrde,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"Jul 04, 2025",Date Lost,12th  Ave S & S Nevada St,Seattle,,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965176,Image Copyright HLP Inc. 2025,"Description: 12 year old F/S domestic long hair. thinner body condition. Some pigment art changes in her Irises.<p/>Age: Over 1 year<p/>Location Lost: 12th Ave S and Nevada, Seattle WA  98108<p/>Lost Date: 2025-07-04<p/>",
K25-181413,A732968,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A732968,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chino,Cat,5 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby / White,"Jul 30, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732968,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Chino and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on July 30th, 2025.<p/><p/>I am a sweet kitten who may need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I may be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K25-181531,A733155,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733155,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 WEEKS,Female,Domestic Shorthair,Tortie,"Aug 01, 2025",Received on,700 block of  5TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733155,Image Copyright HLP Inc. 2025,"Received on: 2025-08-01<p/> Found Near: 700 block of  5TH AVE S<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
